
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     146.37
2                     154.47
4                     168.10
8                     150.13
16                    163.46
32                    164.80
64                    171.00
128                   152.18
256                   167.47
512                   160.34
1024                  164.79
2048                  179.98
4096                  330.08
8192                  692.32
16384                 803.83
32768                 357.88
65536                 516.73
131072                925.05
262144               1797.84
524288               3944.34
1048576              7787.13
