
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     151.15
2                     152.38
4                     146.00
8                     155.74
16                    155.82
32                    173.79
64                    154.13
128                   284.52
256                   310.37
512                   202.09
1024                  169.66
2048                  177.01
4096                  339.79
8192                  436.92
16384                 346.09
32768                 416.20
65536                 566.89
131072               1024.64
262144               2398.39
524288               4435.21
1048576              9148.87
