
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     125.74
2                     142.03
4                     151.05
8                     159.72
16                    159.74
32                    162.42
64                    157.30
128                   162.93
256                   366.87
512                   264.77
1024                  162.21
2048                  164.63
4096                  205.42
8192                  213.96
16384                 234.29
32768                 419.63
65536                 670.19
131072               3038.85
262144               1899.93
524288               3974.69
1048576              7634.16
