
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      91.35
2                      95.07
4                      91.29
8                     110.93
16                    106.12
32                    107.85
64                    102.04
128                   107.90
256                   108.00
512                   104.70
1024                  109.77
2048                  111.71
4096                  120.51
8192                  214.46
16384                 312.12
32768                 566.76
65536                1280.95
131072               2524.86
262144               1810.08
524288               3218.05
1048576              6898.23
