
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     139.28
2                     191.68
4                     166.56
8                     176.64
16                    192.02
32                    161.47
64                    204.52
128                   305.59
256                   271.53
512                   172.33
1024                  191.58
2048                  186.85
4096                  204.07
8192                  276.18
16384                 260.99
32768                 502.23
65536                 671.63
131072               2873.83
262144               2275.61
524288               4688.36
1048576              8488.10
