
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     130.22
2                     140.63
4                     161.84
8                     153.30
16                    155.90
32                    149.57
64                    153.94
128                   162.76
256                   159.64
512                   156.54
1024                  272.86
2048                  256.56
4096                  180.06
8192                  215.54
16384                 238.25
32768                 418.59
65536                 690.20
131072               3035.24
262144               1736.95
524288               3634.03
1048576              7329.70
