
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     148.34
2                     383.52
4                     217.22
8                     159.44
16                    155.80
32                    165.72
64                    151.80
128                   175.15
256                   164.23
512                   181.15
1024                  166.53
2048                  169.92
4096                  373.05
8192                  365.75
16384                 303.02
32768                 365.57
65536                 523.68
131072                853.77
262144               1871.44
524288               3841.95
1048576              7741.44
