
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     149.05
2                     155.85
4                     159.27
8                     159.47
16                    336.90
32                    307.83
64                    162.75
128                   167.23
256                   174.77
512                   170.68
1024                  171.06
2048                  188.67
4096                  327.22
8192                  357.65
16384                 307.26
32768                 387.73
65536                 504.96
131072                847.95
262144               1812.49
524288               3825.36
1048576              7606.06
