
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     137.42
2                     150.31
4                     142.94
8                     163.53
16                    137.00
32                    131.98
64                    169.02
128                   148.75
256                   156.30
512                   162.10
1024                  159.78
2048                  169.46
4096                  194.61
8192                  222.51
16384                 234.73
32768                 419.35
65536                 627.54
131072               3011.33
262144               1899.17
524288               3647.83
1048576              8224.12
