
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     164.00
2                     165.75
4                     176.10
8                     158.04
16                    168.90
32                    176.64
64                    183.08
128                   168.72
256                   164.50
512                   177.38
1024                  184.58
2048                  167.58
4096                  223.47
8192                  243.56
16384                 255.50
32768                 462.47
65536                 673.89
131072               3093.77
262144               2173.15
524288               5952.78
1048576             10502.15
