
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      92.51
2                     105.68
4                     108.29
8                     108.72
16                    105.71
32                    108.38
64                    100.93
128                   135.35
256                   113.71
512                   105.58
1024                  112.85
2048                  112.47
4096                  112.99
8192                  209.53
16384                 311.12
32768                 563.03
65536                1293.22
131072               2592.31
262144               1799.46
524288               3360.05
1048576              7033.48
